idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
98,9.84154849006781,53.54367366998565,9.8406769,9.8425378,53.5429527,53.5441368,nan,nan,4155.537407040596,office,nan,1869.9918331682682,376990.3535667228,1152.0,24.689306302987085
99,9.8336961103845,53.54403252258296,9.8330705,9.8344282,53.5436169,53.5444893,nan,nan,6443.193097531796,yes,nan,2899.4368938893085,nan,nan,24.689629270324666
100,9.835245451170564,53.54427855515771,9.8345236,9.8365373,53.5438678,53.5446207,nan,nan,4461.395652928972,yes,nan,2007.6280438180372,nan,nan,24.689850699641937
101,9.83498314948388,53.5450533573427,9.8344444,9.8354552,53.5447753,53.5453594,nan,nan,2546.3794034775347,yes,nan,1145.8707315648905,nan,nan,24.690548021608436
102,9.834720776240326,53.54376659960471,9.8343895,9.8351427,53.5436214,53.5439002,nan,nan,846.8316855281591,yes,nan,381.0742584876716,nan,nan,24.689389939644236
103,9.839845312538618,53.57779493537336,9.8396948,9.8399959,53.5776867,53.5779031,nan,gabled,319.0454334393144,retail,nan,143.5704450476915,28943.801721614604,1152.0,24.720015441836026
104,9.891267883142673,53.57515004018005,9.8904852,9.8920505,53.5746604,53.5756397,nan,nan,1983.530338674784,stadium,nan,892.5886524036528,179945.8723245764,1152.0,24.717635036162044
105,9.893978951777129,53.57377779821852,9.8938607,9.8940814,53.5736999,53.5738608,nan,gabled,157.76789644919336,detached,nan,70.99555340213702,14312.703565870823,1152.0,24.71640001839667
106,9.896306075940268,53.57551874855357,9.8959822,9.89663,53.5752623,53.5757752,nan,gabled,640.1635969728231,farm_auxiliary,nan,288.07361863777044,58075.64151737452,1152.0,24.717966873698217
107,9.895589700664065,53.57611441836038,9.895247,9.8959324,53.5758656,53.5763632,nan,gabled,641.3702930212021,farm_auxiliary,nan,288.616631859541,58185.11298288346,1152.0,24.71850297652435
108,9.89494813406397,53.576641091051904,9.894691,9.8952053,53.5764574,53.5768248,nan,gabled,476.04389840364456,farm_auxiliary,nan,214.21975428164006,43186.70246317863,1152.0,24.718976981946717
109,9.894039362391531,53.57739461098627,9.8937947,9.894284,53.5772203,53.5775689,nan,nan,468.9135805815458,industrial,nan,211.0111112616956,42539.84003035783,1152.0,24.719655149887643
